Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4u7F,C_0402_1005Metric,43.51,-14.48,-90.0,top
C2,4u7F,C_0402_1005Metric,48.23,-14.48,-90.0,top
C3,100nF,C_0402_1005Metric,52.39,-23.25,-90.0,top
C4,100nF,C_0402_1005Metric,47.66,-21.34,90.0,top
C5,100nF,C_0402_1005Metric,50.0,-26.5,180.0,top
C6,100nF,C_0402_1005Metric,50.0,-29.49,0.0,top
C7,100nF,C_0402_1005Metric,52.34,-35.5,90.0,top
C8,100nF,C_0402_1005Metric,52.35,-33.6,90.0,top
D1,LED,LED_0805_2012,53.085,-6.47,-90.0,top
D2,LED,LED_0805_2012,58.165,-6.47,-90.0,top
J1,Vbus,PinHeader_1x03_P2.54mm_Vertical,55.625,-14.0,90.0,top
J2,Left,PinHeader_1x07_P2.54mm_Vertical,41.5,-27.62,0.0,bottom
J3,Right,PinHeader_1x07_P2.54mm_Vertical,58.5,-27.62,0.0,bottom
R1,1kR,R_0402_1005Metric,53.085,-9.32,90.0,top
R2,1kR,R_0402_1005Metric,58.165,-9.32,90.0,top
R3,4k7R,R_0402_1005Metric,46.3,-33.79,90.0,top
R4,4k7R,R_0402_1005Metric,46.54,-30.67,90.0,top
U1,NCP708,NCP708,45.87,-15.38,90.0,top
U2,BMI088,BMI088,50.0,-23.0,-90.0,top
U3,BMM150,BMM150,49.965,-28.035,180.0,top
U4,BME680,BME680,50.0,-34.5,180.0,top
